sample_idx,rtt_ms
1220,0.094377
1221,0.094846
1222,0.107549
1223,0.094354
1224,0.094518
1225,0.106700
1226,0.094563
1227,0.095703
1228,0.116259
1229,0.094846
1230,0.094488
1231,0.119947
1232,0.092976
1233,0.095285
1234,0.109360
1235,0.095055
1236,0.093587
1237,0.111617
1238,0.106089
1239,0.105307
1240,0.104696
1241,0.094794
1242,0.095621
1243,0.103377
1244,0.094518
1245,0.094458
1246,0.094593
1247,0.096895
1248,0.094309
1249,0.108324
1250,0.095293
1251,0.099704
1252,0.112288
1253,0.113212
1254,0.099145
1255,0.112660
1256,0.099279
1257,0.100195
1258,0.100054
1259,0.117309
1260,0.094987
1261,0.095733
1262,0.112839
1263,0.094816
1264,0.094526
1265,0.106171
1266,0.095263
1267,0.094645
1268,0.109978
1269,0.094786
1270,0.109486
1271,0.096098
1272,0.094756
1273,0.094607
1274,0.107639
1275,0.093751
1276,0.095196
1277,0.104412
1278,0.095047
1279,0.112534
1280,0.107393
1281,0.100337
1282,0.109792
1283,0.093378
1284,0.095181
1285,0.094227
1286,0.107609
1287,0.095114
1288,0.094697
1289,0.094868
1290,0.094533
1291,0.095196
1292,0.122435
1293,0.095792
1294,0.094734
1295,0.095516
1296,0.094973
1297,0.094995
1298,0.106901
1299,0.093043
1300,0.095390
1301,0.108108
1302,0.094734
1303,0.094600
1304,0.106961
1305,0.106610
1306,0.109382
1307,0.094995
1308,0.108704
1309,0.094794
1310,0.094689
1311,0.110298
1312,0.098996
1313,0.094905
1314,0.107817
1315,0.093348
1316,0.095367
1317,0.095956
1318,0.094928
1319,0.094712
1320,0.094756
1321,0.095688
1322,0.110991
1323,0.095546
1324,0.094123
1325,0.101656
1326,0.095405
1327,0.095263
1328,0.095122
1329,0.092886
1330,0.094548
1331,0.106514
1332,0.094742
1333,0.095710
